unix_timestamp,ir1_raw,ir1_cm,ir2_raw,ir2_cm
1787574278.3509877,216,16.8,209,17.38
1787574278.559566,201,18.09,213,17.04
1787574278.7179384,200,18.18,208,17.46
1787574278.9645865,206,17.64,207,17.55
1787574279.1463792,199,18.27,204,17.82
1787574279.320082,201,18.09,203,17.91
1787574279.4954824,199,18.27,206,17.64
1787574279.6569946,205,17.73,201,18.09
1787574279.7832954,200,18.18,199,18.27
1787574279.9449816,200,18.18,208,17.46
1787574280.1354723,194,18.76,200,18.18
1787574280.2886493,195,18.66,214,16.96
1787574280.5406685,191,19.06,206,17.64
1787574280.7337368,176,20.72,206,17.64
1787574280.89443,170,21.46,205,17.73
1787574281.0591803,165,22.13,212,17.13
1787574281.2396352,177,20.6,212,17.13
1787574281.3852987,149,24.55,215,16.88
1787574281.5378182,128,28.64,222,16.34
1787574281.7590709,74,30.0,229,15.82
1787574281.8945062,104,30.0,235,15.41
1787574282.069469,127,28.87,249,14.52
1787574282.245898,154,23.74,264,13.67
1787574282.458832,158,23.12,293,12.28
1787574282.689472,164,22.26,315,11.39
1787574282.8357859,159,22.98,339,10.55
1787574282.9880545,157,23.27,350,10.21
1787574283.1798263,147,24.89,365,9.77
1787574283.3379917,147,24.89,384,9.27
1787574283.4791684,141,25.96,402,8.83
1787574283.6233473,156,23.43,412,8.61
1787574283.8186224,147,24.89,338,10.59
1787574283.9611568,140,26.15,383,9.29
1787574284.1426437,139,26.34,380,9.37
1787574284.3274012,129,28.42,390,9.12
1787574284.4857235,124,30.0,397,8.95
1787574284.6944976,129,28.42,390,9.12
1787574284.8456166,124,30.0,394,9.02
1787574285.0530727,123,30.0,388,9.17
1787574285.247318,138,26.54,386,9.22
1787574285.3706055,151,24.22,378,9.42
1787574285.5810192,161,22.69,364,9.8
1787574285.7203624,155,23.58,350,10.21
1787574285.8615928,159,22.98,338,10.59
1787574286.0161526,164,22.26,320,11.21
1787574286.1893592,206,17.64,310,11.58
1787574286.3834698,225,16.11,292,12.32
1787574286.5643215,255,14.17,275,13.11
1787574286.755068,243,14.89,258,14.0
1787574286.963437,219,16.57,240,15.08
1787574287.3641996,214,16.96,226,16.04
1787574287.5686464,214,16.96,217,16.72
1787574287.7740712,223,16.26,219,16.57
1787576271.6257467,235,15.41,164,22.26
1787576271.8289518,220,16.49,164,22.26
1787576272.0370028,220,16.49,164,22.26
1787576272.2389076,214,16.96,164,22.26
1787576272.3629246,220,16.49,163,22.4
1787576272.660513,222,16.34,158,23.12
1787576272.858653,217,16.72,164,22.26
1787576273.0583298,215,16.88,164,22.26
1787576273.2203863,218,16.64,164,22.26
1787576273.3852248,225,16.11,164,22.26
1787576273.5766318,227,15.97,173,21.08
